species	project
a_ceylanicum	PRJNA231479
b_malayi	PRJNA10729
a_suum	PRJNA62057
a_suum	PRJNA80881
b_xylophilus	PRJEA64437
c_becei	PRJEB28243
c_bovis	PRJEB34497
c_angaria	PRJNA51225
c_brenneri	PRJNA20035
c_briggsae	PRJNA10731
c_japonica	PRJNA12591
c_elegans	PRJEB28388
c_elegans	PRJNA13758
c_elegans	PRJNA275000
c_inopinata	PRJDB5687
c_latens	PRJNA248912
c_nigoni	PRJNA384657
c_parvicauda	PRJEB12595
c_panamensis	PRJEB28259
c_quiockensis	PRJEB11354
c_remanei	PRJNA248909
c_remanei	PRJNA248911
c_remanei	PRJNA53967
c_remanei	PRJNA577507
c_sp5	PRJNA194557
c_sinica	PRJNA194557
c_sulstoni	PRJEB12601
c_sp11	PRJNA53597
c_tropicalis	PRJNA53597
c_tribulationis	PRJEB12608
c_uteleia	PRJEB12600
d_immitis	PRJEB1797
c_zanzibari	PRJEB12596
c_waitukubuli	PRJEB12602
h_contortus	PRJEB506
h_contortus	PRJNA205202
h_bacteriophora	PRJNA13977
l_loa	PRJNA60051
m_hapla	PRJNA29083
m_incognita	PRJEA28837
n_americanus	PRJNA72135
p_pacificus	PRJNA12644
o_volvulus	PRJEB513
p_redivivus	PRJNA186477
o_tipulae	PRJEB15512
p_exspectatus	PRJEB6009
s_ratti	PRJEA62033
s_ratti	PRJEB125
t_muris	PRJEB126
t_spiralis	PRJNA12603
t_suis	PRJNA208415
t_suis	PRJNA208416
c_briggsae	QX1410_nanopore
c_tropicalis	NIC58_nanopore
